"id","partner_id/id","icao","iata","elevation","aerodrome_type"
"aerodrome_03IL","partner_03IL","03IL","","750","small_airport"
"aerodrome_03IN","partner_03IN","03IN","","850","small_airport"
"aerodrome_03IS","partner_03IS","03IS","","580","heliport"
"aerodrome_03KS","partner_03KS","03KS","","1160","heliport"
"aerodrome_03KY","partner_03KY","03KY","","385","small_airport"
"aerodrome_03LA","partner_03LA","03LA","","25","heliport"
"aerodrome_03LS","partner_03LS","03LS","","79","heliport"
"aerodrome_03M","partner_03M","03M","","165","seaplane_base"
"aerodrome_03MA","partner_03MA","03MA","","150","small_airport"
"aerodrome_03MD","partner_03MD","03MD","","302","heliport"
"aerodrome_03ME","partner_03ME","03ME","","556","small_airport"
"aerodrome_03MI","partner_03MI","03MI","","585","heliport"
"aerodrome_03MN","partner_03MN","03MN","","1435","small_airport"
"aerodrome_03MO","partner_03MO","03MO","","1010","closed"
"aerodrome_03MS","partner_03MS","03MS","","110","heliport"
"aerodrome_03MT","partner_03MT","03MT","","3580","small_airport"
"aerodrome_03MU","partner_03MU","03MU","","874","small_airport"
"aerodrome_03N","partner_03N","03N","UTK","4","small_airport"
"aerodrome_03NC","partner_03NC","03NC","","35","small_airport"
"aerodrome_03ND","partner_03ND","03ND","","1045","small_airport"
"aerodrome_03NE","partner_03NE","03NE","","2430","small_airport"
"aerodrome_03NH","partner_03NH","03NH","","400","heliport"
"aerodrome_03NJ","partner_03NJ","03NJ","","360","closed"
"aerodrome_03NV","partner_03NV","03NV","","6120","small_airport"
"aerodrome_03NY","partner_03NY","03NY","","95","small_airport"
"aerodrome_03OH","partner_03OH","03OH","","580","small_airport"
"aerodrome_03OI","partner_03OI","03OI","","890","heliport"
"aerodrome_03OK","partner_03OK","03OK","","890","small_airport"
"aerodrome_03OR","partner_03OR","03OR","","3340","small_airport"
"aerodrome_03PA","partner_03PA","03PA","","197","heliport"
"aerodrome_03PN","partner_03PN","03PN","","479","heliport"
"aerodrome_03PR","partner_03PR","03PR","","980","small_airport"
"aerodrome_03PS","partner_03PS","03PS","","1050","closed"
"aerodrome_03S","partner_03S","03S","","704","small_airport"
"aerodrome_03SC","partner_03SC","03SC","","73","heliport"
"aerodrome_03TA","partner_03TA","03TA","","505","closed"
"aerodrome_03TE","partner_03TE","03TE","","600","small_airport"
"aerodrome_03TN","partner_03TN","03TN","","1000","heliport"
