"id","name","city","country_id/id"
"partner_XLMV","Severomorsk-3 Naval Air Base","Severomorsk","base.ru"
"partner_XLO","Long XuyÃªn Airport","Long XuyÃªn","base.vn"
"partner_XLWF","Fedotovo Naval Air Base","Kipelovo","base.ru"
"partner_XLWT","Trufanovo Airfield","Vologda","base.ru"
"partner_XMA","Maramag Airport","Maramag","base.ph"
"partner_XMUC","Flughafen MÃ¼nchen-Riem","Munich","base.de"
"partner_XNG","Quáº£ng NgÃ£i Airfield","Quáº£ng NgÃ£i","base.vn"
"partner_XPLO","Plockton Airstrip","Plockton","base.uk"
"partner_XRQ","Xinbarag Youqi Baogede Airport","New Barag Right Banner","base.cn"
"partner_XRWL","Lebyazhye Air Base","Kamyshin","base.ru"
"partner_XS00","Flying D Airport","Llano","base.us"
"partner_XS01","Tschirhart Ranch Airport","Fredericksburg","base.us"
"partner_XS02","Tarrant County Water Control Heliport","Fort Worth","base.us"
"partner_XS03","Herbert Ranch Airport","Marble Falls","base.us"
"partner_XS04","East Texas Medical Center Crockett Heliport","Crockett","base.us"
"partner_XS05","H M Ranch Airport","Marion","base.us"
"partner_XS06","Flying B Ranch Airport","Grandview","base.us"
"partner_XS07","W D Cornilius Ranch Airport","Markham","base.us"
"partner_XS08","Polk Ranch Airport","Mason","base.us"
"partner_XS09","Estates Airpark","New Waverly","base.us"
"partner_XS10","Aransas National Wildlife Refuge Airport","Matagorda Island","base.us"
"partner_XS11","Idlewild Airport","Medina","base.us"
"partner_XS12","Liberty Hill Air Ranch Airport","Liberty Hill","base.us"
"partner_XS13","T-4 Ranch Airport","Medina","base.us"
"partner_XS14","Weese International Airport","Greenville","base.us"
"partner_XS15","Womack Ranch Airport","Menard","base.us"
"partner_XS16","San Jacinto College Central Campus Heliport","Pasadena","base.us"
"partner_XS17","Hensley Ranch Airport","Milano","base.us"
"partner_XS18","Tom J Moore Farm Airport","Millican","base.us"
"partner_XS19","Cedar Park Rgnl Medical Center Heliport","Cedar Park","base.us"
"partner_XS20","Dos Arroyos Ranch Airport","Mountain Home","base.us"
"partner_XS21","H & S Airfield","Damon","base.us"
"partner_XS22","Y O Ranch Airport","Mountain Home","base.us"
"partner_XS23","Priour Ranch Airport","Mountain Home","base.us"
"partner_XS24","Cherry Spraying Service Airport","Muldoon","base.us"
"partner_XS25","Flying C Ranch Airport","Needville","base.us"
"partner_XS26","Graco Mechanical Inc Heliport","Houston","base.us"
"partner_XS27","Farm Air Service Airport","Nome","base.us"
"partner_XS28","North Willis Airport","Nome","base.us"
"partner_XS29","Sonny Broussard Landing Strip","Nome","base.us"
"partner_XS30","Burress Airport","Paris","base.us"
"partner_XS31","Graham Field","Sadler","base.us"
"partner_XS32","Nucor Ems Heliport","Jewett","base.us"
"partner_XS33","Chesson Airport","Orangefield","base.us"
"partner_XS34","Skylark Airport","Ennis","base.us"
"partner_XS35","Trull Airport","Palacios","base.us"
"partner_XS36","Tres Ninos Ranch Airport","Pandale","base.us"
"partner_XS37","Police Heliport","Pasadena","base.us"
"partner_XS38","3321 Westside Heliport","Pasadena","base.us"
"partner_XS39","A&A Flying Service Airport","Pearland","base.us"
"partner_XS40","Jay Kay Ranch Airport","Pearsall","base.us"
"partner_XS41","Heart Hospital of Austin Heliport","Austin","base.us"
"partner_XS42","Agricultural Supplies Airport","Pearsall","base.us"
"partner_XS43","Medina River Ranch Airport","Pipe Creek","base.us"
"partner_XS44","Rancho Del Cielo Airport","Kent","base.us"
"partner_XS45","Mustang Island Heliport","Port Aransas","base.us"
"partner_XS46","Port O'Connor Private Heliport","Port O'Connor","base.us"
"partner_XS47","Maurice Dauwe Farm Airport","Poteet","base.us"
"partner_XS48","Marlin'S Meadow Airport","Yantis","base.us"
"partner_XS49","Dean Ranch Airport","Shiner","base.us"
"partner_XS50","4-G Ranch Airport","Premont","base.us"
"partner_XS51","Seeligson Ranch Airport","Premont","base.us"
"partner_XS52","Lewis Heliport","Premont","base.us"
"partner_XS53","Price Ranch Airport","Big Wells","base.us"
"partner_XS54","Arlington Marriott Hotel Heliport","Arlington","base.us"
"partner_XS55","Gizmo Field","Malone","base.us"
"partner_XS56","Flying W Airport","Raymondville","base.us"
"partner_XS57","Havelka Haven Airport","Mc Gregor","base.us"
"partner_XS58","Tri-County Air Service Airport","Raywood","base.us"
"partner_XS59","Mellon Ranch Airport","Refugio","base.us"
"partner_XS60","Mustang Community Airfield","Aubrey","base.us"
"partner_XS61","Deep Creek Ranch Airport","Richland Springs","base.us"
"partner_XS62","Casey Three Ranch Airport","Rio Frio","base.us"
